condition,generated_file,clean_reference,pixel_agreement,prediction_iou,distribution_shift,robustness_drop
occlusion_medium,0013_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404.jpg,0.6495784722222222,0.31706612327001366,0.4318763888888889,0.6829338767299864
occlusion_medium,0014_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404.jpg,0.6278701388888889,0.3680419199737683,0.5485236111111111,0.6319580800262317
occlusion_medium,0015_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404.jpg,0.6721958333333333,0.37537754415619023,0.46217916666666675,0.6246224558438098
occlusion_medium,0016_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404.jpg,0.6076840277777777,0.26931824066207033,0.5767486111111112,0.7306817593379297
occlusion_medium,0017_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404.jpg,0.6418173611111111,0.30939570437609815,0.4981930555555555,0.6906042956239018
occlusion_medium,0018_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404.jpg,0.6976208333333334,0.3955130853106434,0.3993305555555555,0.6044869146893566
occlusion_medium,0019_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404.jpg,0.7095534722222222,0.37966429010790603,0.3995597222222223,0.620335709892094
occlusion_medium,0020_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404.jpg,0.72548125,0.333078832431399,0.40167499999999995,0.666921167568601
occlusion_medium,0021_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404.jpg,0.731325,0.3137534701926884,0.35697222222222214,0.6862465298073116
occlusion_medium,0022_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404.jpg,0.6564340277777778,0.308614746670931,0.5018833333333335,0.691385253329069
occlusion_medium,0023_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404.jpg,0.69769375,0.26017299577561,0.37342777777777786,0.73982700422439
