condition,generated_file,clean_reference,clean_object_count,generated_object_count,clean_avg_confidence,generated_avg_confidence,detection_drop,confidence_drop
occlusion_medium,0013_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489309862404.jpg,16,8,0.5840363502502441,0.6025490164756775,8,-0.01851266622543335
occlusion_medium,0014_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310362404.jpg,15,10,0.5758964419364929,0.5576329827308655,5,0.01826345920562744
occlusion_medium,0015_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489310912404.jpg,14,10,0.6444343328475952,0.5771394371986389,4,0.0672948956489563
occlusion_medium,0016_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311362404.jpg,12,9,0.6420502066612244,0.6033060550689697,3,0.03874415159225464
occlusion_medium,0017_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489311862404.jpg,13,9,0.6044508218765259,0.5654506683349609,4,0.03900015354156494
occlusion_medium,0018_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312362404.jpg,11,7,0.6208441853523254,0.599763035774231,4,0.021081149578094482
occlusion_medium,0019_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489312862404.jpg,12,7,0.5851945281028748,0.5830373167991638,5,0.0021572113037109375
occlusion_medium,0020_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313362404.jpg,12,8,0.6361660361289978,0.5876103639602661,4,0.04855567216873169
occlusion_medium,0021_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489313862404.jpg,11,8,0.6477426886558533,0.4864160120487213,3,0.16132667660713196
occlusion_medium,0022_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314362404.jpg,10,6,0.6046774387359619,0.5825547575950623,4,0.022122681140899658
occlusion_medium,0023_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404_occlusion_medium.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489314862404.jpg,10,7,0.5836753845214844,0.4574274718761444,3,0.12624791264533997
